"name","caption","description","displayname","errorcontrol","pathname","processid","servicetype","started","startmode","startname","state","status","systemname"
ï»¿"DusmSvc","¼Æ¾Ú¨Ï¥Î¶q","ºô¸ô¼Æ¾Ú¨Ï¥Î¶q¡B¸ê®Æ¶Ç¿é¶q¤W­­¡B­­¨î­I´º¸ê®Æ¶Ç¿é¡B­p¶q¥I¶Oºô¸ô¡C","¼Æ¾Ú¨Ï¥Î¶q","Normal","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1608","Own Process","Running","Auto","NT Authority\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"Eaphost","Extensible Authentication Protocol","¥i©µ¦ùªºÅçÃÒ³q°T¨ó©w (EAP) ªA°È´£¨Ñ¨Ò¦p 802.1x ¦³½u¤ÎµL½u¡BVPN ¥H¤Îºô¸ô¦s¨ú«OÅ@ (NAP) Àô¹Ò¤¤ªººô¸ôÅçÃÒ¡C EAP ¦bÅçÃÒµ{§Ç´Á¶¡¡A¤]´£¨Ñºô¸ô¦s¨ú¥Î¤áºÝ (¥]¬AµL½u¤Î VPN ¥Î¤áºÝ) ¨Ï¥ÎªºÀ³¥Îµ{¦¡¶}µo¤¶­± (API)¡C¦pªG±z°±¥Î¦¹ªA°È¡A¦¹¹q¸£±NµLªk¦s¨ú»Ý­n EAP ÅçÃÒªººô¸ô¡C","Extensible Authentication Protocol","Normal","C:\Windows\System32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","localSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"edgeupdate","Microsoft Edge Update Service (edgeupdate)","±N±zªº Microsoft ³nÅé«O«ù¬°³Ì·sª¬ºA¡C¦pªG¦¹ªA°È¤w°±¥Î©Î°±¤î¡A±zªº Microsoft ³nÅé±N¤£·|«O«ù¬°³Ì·sª¬ºA¡A¥Nªí¥i¯àµo¥Íªº¦w¥þ©Ê°ÝÃD¥i¯àµLªk­×¥¿¡A¥B¥\¯à¥i¯àµLªk¹B§@¡C·í¨S¦³¥ô¦ó Microsoft ³nÅé¨Ï¥Î®É¡A¦¹ªA°È·|¦Û¦æ¸Ñ°£¦w¸Ë¡C","Microsoft Edge Update Service (edgeupdate)","Normal",""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /svc","0","Own Process","Stopped","Auto","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","±N±zªº Microsoft ³nÅé«O«ù¬°³Ì·sª¬ºA¡C¦pªG¦¹ªA°È¤w°±¥Î©Î°±¤î¡A±zªº Microsoft ³nÅé±N¤£·|«O«ù¬°³Ì·sª¬ºA¡A¥Nªí¥i¯àµo¥Íªº¦w¥þ©Ê°ÝÃD¥i¯àµLªk­×¥¿¡A¥B¥\¯à¥i¯àµLªk¹B§@¡C·í¨S¦³¥ô¦ó Microsoft ³nÅé¨Ï¥Î®É¡A¦¹ªA°È·|¦Û¦æ¸Ñ°£¦w¸Ë¡C","Microsoft Edge Update Service (edgeupdatem)","Normal",""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /medsvc","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"EFS","Encrypting File System (EFS)","´£¨Ñ®Ö¤ßÀÉ®×¥[±K§Þ³N¡A¥i¥H¦b NTFS ÀÉ®×¨t²ÎºÏºÐ°Ï¤WÀx¦s¥[±KªºÀÉ®×¡C¦pªG¦¹ªA°È°±¤î©Î°±¥Î¡AÀ³¥Îµ{¦¡±NµLªk¦s¨ú¥[±KªºÀÉ®×¡C","Encrypting File System (EFS)","Normal","C:\Windows\System32\lsass.exe","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"embeddedmode","¤º´O¼Ò¦¡","¡u¤º´O¼Ò¦¡¡vªA°È¥i±Ò¥Î»P¡u­I´ºÀ³¥Îµ{¦¡¡v¬ÛÃöªº®×¨Ò¡C°±¥Î¦¹ªA°È±N¨¾¤î¡u­I´ºÀ³¥Îµ{¦¡¡v±Ò°Ê¡C","¤º´O¼Ò¦¡","Normal","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"EntAppSvc","Enterprise App Management Service","±Ò¥Î¥ø·~À³¥Îµ{¦¡ºÞ²z¡C","Enterprise App Management Service","Normal","C:\Windows\system32\svchost.exe -k appmodel -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"EventLog","Windows Event Log","³o­ÓªA°ÈºÞ²z¨Æ¥ó»P¨Æ¥ó°O¿ýÀÉ¡C¥¦¤ä´©°O¿ý¨Æ¥ó¡B¬d¸ß¨Æ¥ó¡B­q¾\¨Æ¥ó¡B«Ê¦s¨Æ¥ó°O¿ýÀÉ¡A¥H¤ÎºÞ²z¨Æ¥ó¤¤Ä~¸ê®Æ¡C¥¦¥i¥H¨Ï¥Î XML »P¯Â¤å¦r®æ¦¡¨ÓÅã¥Ü¨Æ¥ó¡C°±¤î³o­ÓªA°È¥i¯à¦M®`¨t²Îªº¦w¥þ©Ê»P¥i¾a©Ê¡C","Windows Event Log","Normal","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1120","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"EventSystem","COM+ Event System","¤ä´©¡u¨t²Î¨Æ¥ó³qª¾ªA°È (SENS)¡v¡A¥¦¥iÅý¨Æ¥ó¦Û°Ê¤À´²¨ì­q¾\ªº COM ¤¸¥ó¡C¦pªGªA°È³Q°±¤î¡ASENS ·|Ãö³¬¡A¨ÃµLªk´£¨Ñµn¤J¤Îµn¥X³qª¾¡C¦pªG¦¹ªA°È³Q°±¥Î¡A¥ô¦ó©úÅã¨Ì¦s¥¦ªºªA°È³£µLªk±Ò°Ê¡C","COM+ Event System","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","1296","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"Fax","Fax","¥iÅý±z¶Ç°e¨Ã±µ¦¬¶Ç¯u¡A¦b¦¹¹q¸£©Îºô¸ô¤W¨Ï¥Î¶Ç¯u¸ê·½¡C","Fax","Normal","C:\Windows\system32\fxssvc.exe","0","Own Process","Stopped","Manual","NT AUTHORITY\NetworkService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"fdPHost","Function Discovery Provider Host","FDPHOST ªA°È¸Ë¸ü¥\¯à±´¯Á (FD) ºô¸ô±´¯Á´£¨ÑªÌ¡C³o¨Ç FD ´£¨ÑªÌ´£¨Ñ Simple Services Discovery Protocol (SSDP) ©M Web Services ¡V Discovery (WS-D) ³q°T¨ó©wªººô¸ô±´¯ÁªA°È¡C­Y°±¤î©Î°±¥Î FDPHOST ªA°È¡A«h¦b¨Ï¥Î FD ®É¡A±N°±¥Î³o¨Ç³q°T¨ó©wªººô¸ô±´¯Á¡CµLªk¨Ï¥Î¦¹ªA°È®É¡A§Q¥Î FD ¥H¤Î¨Ì¿à³o¨Ç±´¯Á³q°T¨ó©wªººô¸ôªA°È±N§ä¤£¨ìºô¸ô¸Ë¸m©Î¸ê·½¡C","Function Discovery Provider Host","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"FDResPub","Function Discovery Resource Publication","µo§G³o¥x¹q¸£©M³sµ²¦Ü³o¥x¹q¸£ªº¸ê·½¡A±z«K¥i¦bºô¸ô¤W§ä¨ì¥¦­Ì¡C¦pªG¦¹ªA°È°±¤î¡A«K¤£¦Aµo§Gºô¸ô¸ê·½¡Aºô¸ô¤Wªº¨ä¥L¹q¸£±NµLªk§ä¨ì¥¦­Ì¡C","Function Discovery Resource Publication","Normal","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"fhsvc","File History Service","±N¨Ï¥ÎªÌÀÉ®×½Æ»s¨ì³Æ¥÷¦ì¸m¡A¥H¨¾¤î¤£·V¿ò¥¢","File History Service","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"FontCache","Windows Font Cache Service","³z¹L§Ö¨ú±`¥Îªº¦r«¬¸ê®Æ¡A±z¥i¥H³Ì¨Î¤ÆÀ³¥Îµ{¦¡®Ä¯à¡C¦pªG³o­ÓªA°È©|¥¼°õ¦æ¡AÀ³¥Îµ{¦¡«K·|±Ò°Ê¸ÓªA°È¡C±z¤]¥i¥H°±¥Î¦¹ªA°È¡A¤£¹L³o¼Ë°µ·|­°§CÀ³¥Îµ{¦¡®Ä¯à¡C","Windows Font Cache Service","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","1472","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"FrameServer","Windows Camera Frame Server","Åý¦h­Ó¥Î¤áºÝ¦s¨ú¨Ó¦Û¬Û¾÷¸Ë¸mªºµø°T®Ø¬[¡C","Windows Camera Frame Server","Normal","C:\Windows\System32\svchost.exe -k Camera","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"gpsvc","Group Policy Client","¦¹ªA°È­t³d³z¹L [¸s²Õ­ì«h] ¤¸¥ó¡A±N¨t²ÎºÞ²z­û©Ò³]©wªº³]©w­È®M¥Î¦b¹q¸£¤Î¨Ï¥ÎªÌ¡C¦pªG¸ÓªA°È°±¥Î¡A´N¤£·|®M¥Î³o¨Ç³]©w­È¡A¦Ó¥B¤]µLªk³z¹L [¸s²Õ­ì«h] ¨ÓºÞ²zÀ³¥Îµ{¦¡¤Î¤¸¥ó¡C¦pªG¸ÓªA°È°±¥Î¡A»Ý¥õ¿à [¸s²Õ­ì«h] ¤¸¥óªº¥ô¦ó¤¸¥ó©ÎÀ³¥Îµ{¦¡¥i¯à·|µLªk¹B§@¡C","Group Policy Client","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","97888","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"GraphicsPerfSvc","GraphicsPerfSvc","Graphics performance monitor service","GraphicsPerfSvc","Ignore","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"hidserv","Human Interface Device Service","±Ò¥Î¨ÃºûÅ@Áä½L¡B»»±±¾¹»P¨ä¥L¦h´CÅé¸Ë¸m¤W¤§±`¥Î«ö¶sªº¨Ï¥Î¡C«ØÄ³±zÅý³o­ÓªA°ÈÄ~Äò°õ¦æ¡C","Human Interface Device Service","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"HvHost","HV ¥D¾÷ªA°È","¬° Hyper-V Hypervisor ´£¨Ñ¤@­Ó¤¶­±¡A¥H´£¨Ñ¥D¾÷§@·~¨t²Îªº­Ó§O¤À³Î®Ä¯à­p¼Æ¾¹¡C","HV ¥D¾÷ªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"icssvc","Windows ¦æ°Ê¼öÂIªA°È","´£¨Ñ»P¨ä¥L¸Ë¸m¦@¥Î¦æ°Ê¼Æ¾Ú³s½uªº¯à¤O¡C","Windows ¦æ°Ê¼öÂIªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","Stopped","Manual","NT Authority\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"IKEEXT","IKE and AuthIP IPsec Keying Modules","IKEEXT ªA°È¥D±± Internet Keying Exchange (IKE) ¤Î Authenticated Internet Protocol (AuthIP) ª÷Æ_³B²z¼Ò²Õ¡C³o¨Çª÷Æ_³B²z¼Ò²Õ¬O¥Î¨Ó¦bºô»Úºô¸ô³q°T¨ó©w¦w¥þ©Ê (IPsec) ¤¤¶i¦æÅçÃÒ¤Îª÷Æ_¥æ´«¡C°±¤î©Î°±¥Î IKEEXT ªA°È±N·|°±¥Î»P¦P¾«¸`ÂI¹q¸£¶¡ªº IKE ©M AuthIP ª÷Æ_¥æ´«¡CIPsec ³q±`·|³]©w¬°¨Ï¥Î IKE ©Î AuthIP¡A¦]¦¹¦pªG°±¤î©Î°±¥Î IKEEXT ªA°È¡A±N·|¾É­P IPsec ¥¢±Ñ¡A¨Ã¦M®`¨t²Îªº¦w¥þ©Ê¡C±j¯P«ØÄ³±z«ùÄò°õ¦æ IKEEXT ªA°È¡C","IKE and AuthIP IPsec Keying Modules","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","2560","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"InstallService","Microsoft Store ¦w¸ËªA°È","´£¨Ñ Microsoft Store ªº°òÂ¦µ²ºc¤ä´©¡C¦¹ªA°È·|µø»Ý­n±Ò°Ê¡A¦pªG°±¥Î¦¹ªA°È¡A¦w¸Ë±NµLªk¥¿±`¹B§@¡C","Microsoft Store ¦w¸ËªA°È","Ignore","C:\Windows\System32\svchost.exe -k netsvcs -p","5116","Own Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"iphlpsvc","IP Helper","¨Ï¥Î IPv6 Âà´«§Þ³N (6to4¡BISATAP¡B³s±µ°ð Proxy »P Teredo) »P IP-HTTPS ´£¨Ñ³q¹D³s½u¯à¤O¡C¦pªG°±¤î¦¹ªA°È¡A¹q¸£±N¤£¨ã¦³³o¨Ç§Þ³N©Ò´£¨Ñªº¼W±j³s½u¯à¤O®Ä¯q¡C","IP Helper","Normal","C:\Windows\System32\svchost.exe -k NetSvcs -p","3020","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"IpxlatCfgSvc","IP ÂàÄ¶³]©wªA°È","³]©w¤Î±Ò¥Î±q v4 ¨ì v6 ªºÂàÄ¶ (¤Ï¤§¥çµM)","IP ÂàÄ¶³]©wªA°È","Normal","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"KeyIso","CNG Key Isolation","CNG ª÷Æ_¹jÂ÷ªA°È¸Ë¸ü©ó LSA ³B²zµ{§Ç¡C¸ÓªA°È¥i¨Ì¾Ú¤@¯ë±ø¥ó¨Ó¹jÂ÷¨p±Kª÷Æ_©M¬ÛÃöÁp¥[±K½sÄ¶¾Þ§@ªºª÷Æ_³B²zµ{§Ç¡C¸ÓªA°È·|¥H²Å¦X¤@¯ë±ø¥óªº¦w¥þ³B²zµ{§Ç¨ÓÀx¦s©M¨Ï¥Îªø®Äª÷Æ_¡C","CNG Key Isolation","Normal","C:\Windows\system32\lsass.exe","672","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"KtmRm","KtmRm for Distributed Transaction Coordinator","¨ó½Õ¤À´²¦¡¥æ©ö¨ó½Õ¾¹ (MSDTC) »P®Ö¤ß¥æ©öºÞ²z­û (KTM) ¤§¶¡ªº¥æ©ö¡C¦pªG¤£»Ý­n³o¼Ë°µ¡A«ØÄ³±zÅý¦¹ªA°Èºû«ù¦b°±¤îª¬ºA¡C¦pªG»Ý­n³o¼Ë°µ¡AMSDTC »P KTM ³£·|¦Û°Ê±Ò°Ê¦¹ªA°È¡C¦pªG°±¥Î¦¹ªA°È¡A¥ô¦ó»P®Ö¤ß¸ê·½ºÞ²z­û¤¬°Êªº MSDTC ¥æ©ö³£·|¥¢±Ñ¡A¥B¥ô¦ó©ú½T¨Ì¦s©ó¦¹ªA°ÈªºªA°È±NµLªk±Ò°Ê¡C","KtmRm for Distributed Transaction Coordinator","Normal","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","0","Share Process","Stopped","Manual","NT AUTHORITY\NetworkService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"LanmanServer","Server","¬°³o­Ó¹q¸£¤ä´©ºô¸ô¤WÀÉ®×¡B¦C¦L¡B©M©R¦WºÞ½uªº¦@¥Î¡C¦pªG°±¤î¦¹ªA°È¡A±NµLªk¨Ï¥Î³o¨Ç¥\¯à¡C¦pªG³o­ÓªA°È³Q°±¥Î¡A¥ô¦ó©ú½T¨Ì¦s©ó¥¦ªºªA°È±NµLªk±Ò°Ê¡C","Server","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","3176","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"LanmanWorkstation","Workstation","«Ø¥ß¤ÎºûÅ@¨Ï¥Î SMB ³q°T¨ó©w¶i¦æªº¥Î¤áºÝ»P»·ºÝ¦øªA¾¹ºô¸ô³s½u¡C¦pªG°±¤î³o­ÓªA°È¡A±NµLªk¨Ï¥Î³o¨Ç³s½u¡C¦pªG°±¥Î³o­ÓªA°È¡A«h·|°±¤î©Ò¦³©ú½T¨Ì¦s¥¦ªºªA°È¡C","Workstation","Normal","C:\Windows\System32\svchost.exe -k NetworkService -p","2164","Share Process","Running","Auto","NT AUTHORITY\NetworkService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"lfsvc","Geolocation Service","¦¹ªA°È·|ºÊµø¥Ø«eªº¨t²Î¦ì¸m¨ÃºÞ²z¦a²z¬]Äæ (¨ã¦³ÃöÁp¨Æ¥óªº¦a²z¦ì¸m)¡C­YÃö³¬¦¹ªA°È¡AÀ³¥Îµ{¦¡±NµLªk¨Ï¥Î©Î±µ¦¬¦a²z¦ì¸m©Î¦a²z¬]Äæªº³qª¾¡C","Geolocation Service","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","3312","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"LicenseManager","Windows ±ÂÅvºÞ²z­ûªA°È","´£¨Ñ Microsoft Store ªº°òÂ¦µ²ºc¤ä´©¡C¦¹ªA°È·|µø»Ý­n±Ò°Ê¡A¦pªG°±¥Î¦¹ªA°È¡A±q Microsoft Store ¨ú±oªº¤º®e±NµLªk¥¿±`¹B§@¡C","Windows ±ÂÅvºÞ²z­ûªA°È","Ignore","C:\Windows\System32\svchost.exe -k LocalService -p","4112","Share Process","Running","Manual","NT Authority\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"lltdsvc","Link-Layer Topology Discovery Mapper","«Ø¥ßºô¸ô¹Ï¡A¨ä¤¤¥]§t¹q¸£¤Î¸Ë¸m©Ý¼³ (³s½u¯à¤O) ¸ê°T¥H¤Î´y­z¨C¥x¹q¸£¤Î¸Ë¸mªº¤¤Ä~¸ê®Æ¡C¦pªG³o­ÓªA°È¤w°±¥Î¡Aºô¸ô¹Ï±NµLªk¥¿±`¹B§@¡C","Link-Layer Topology Discovery Mapper","Normal","C:\Windows\System32\svchost.exe -k LocalService -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"lmhosts","TCP/IP NetBIOS Helper","´£¨Ñ¹ï NetBIOS over TCP/IP ¥H¤Îºô¸ô¤W¥Î¤áºÝ NetBIOS ¦WºÙ¸ÑªRªº¤ä´©¡A¦]¦¹Åý¨Ï¥ÎªÌ¥i¥H¦@¥ÎÀÉ®×¡B¦C¦L¥H¤Îµn¤J¨ìºô¸ô¡C¦pªG³o­ÓªA°È³Q°±¤î¡A¥i¯àµLªk¨Ï¥Î³o¨Ç¥\¯à¡C¦pªG³o­ÓªA°È³Q°±¥Î¡A¥ô¦ó©ú½T¨Ì¦s©ó¥¦ªºªA°È±NµLªk±Ò°Ê¡C","TCP/IP NetBIOS Helper","Normal","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","956","Share Process","Running","Manual","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"LSM","Local Session Manager","¥Î©óºÞ²z¥»¾÷¨Ï¥ÎªÌ¤u§@¶¥¬qªº®Ö¤ß Windows ªA°È¡C°±¤î©Î°±¥Î¦¹ªA°È±N·|¾É­P¨t²Î¤£Ã­©w¡C","Local Session Manager","Normal","C:\Windows\system32\svchost.exe -k DcomLaunch -p","988","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"LxpSvc","»y¨¥ÅéÅçªA°È","´£¨Ñ³¡¸p¤Î³]©w·í¦a»y¨t¤Æ Windows ¸ê·½ªº°òÂ¦µ²ºc¤ä´©¡C³o¶µªA°È·|¦b´£¥X­n¨D®É±Ò°Ê¡A­Y°±¥Î³o¶µªA°È¡AWindows »y¨¥±N¤£·|³¡¸p¦Ü¨t²Î¡A¦Ó Windows ¤]¥i¯àµLªk¥¿±`¹B§@¡C","»y¨¥ÅéÅçªA°È","Ignore","C:\Windows\system32\svchost.exe -k netsvcs","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"MapsBroker","Downloaded Maps Manager","¥i¥ÎÀ³¥Îµ{¦¡¦s¨ú¤w¤U¸ü¤§¦a¹Ïªº Windows ªA°È¡C¦¹À³¥Îµ{¦¡¬O¥Ñ­n¦s¨ú¤w¤U¸ü¤§¦a¹ÏªºÀ³¥Îµ{¦¡µø»Ý­n±Ò°Ê¡C°±¥Î¦¹ªA°È±N¨Ï±oÀ³¥Îµ{¦¡µLªk¦s¨ú¦a¹Ï¡C","Downloaded Maps Manager","Normal","C:\Windows\System32\svchost.exe -k NetworkService -p","0","Own Process","Stopped","Auto","NT AUTHORITY\NetworkService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"McpManagementService","McpManagementService"," ","McpManagementService","Normal","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Keeps Microsoft Edge up to update. If this service is disabled, the application will not be kept up to date.","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Normal",""C:\Program Files (x86)\Microsoft\Edge\Application\115.0.1901.200\elevation_service.exe"","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Enables Mixed Reality OpenXR runtime functionality","Windows Mixed Reality OpenXR Service","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"mpssvc","Windows Defender Firewall","Windows Defender ¨¾¤õÀð¸g¥Ñªý¤î¥¼±ÂÅv¨Ï¥ÎªÌ³z¹Lºô»Úºô¸ô©Îºô¸ô¨ú±o¹ï±z¹q¸£ªº¦s¨ú¨Ó«OÅ@±zªº¹q¸£¡C","Windows Defender Firewall","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","2108","Share Process","Running","Auto","NT Authority\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"MSDTC","Distributed Transaction Coordinator","¨ó½Õ¸ó¶V¦h­Ó¸ê·½ºÞ²z­ûªº¥æ©ö¡A¤ñ¦p¸ê®Æ®w¡B°T®§¦î¦C¤ÎÀÉ®×¨t²Î¡C¦pªG¦¹ªA°È³Q°±¤î¡A³o¨Ç¥æ©ö±N·|¥¢±Ñ¡C¦pªG³o­ÓªA°È¤w°±¥Î¡A©Ò¦³¨Ì¦s©ó¥¦ªºªA°È³£±NµLªk±Ò°Ê¡C","Distributed Transaction Coordinator","Normal","C:\Windows\System32\msdtc.exe","4180","Own Process","Running","Manual","NT AUTHORITY\NetworkService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"MSiSCSI","Microsoft iSCSI Initiator Service","ºÞ²z±q³o³¡¹q¸£³s½u¦Ü»·ºÝ iSCSI ¥Ø¼Ð¸Ë¸mªº Internet SCSI (iSCSI) ¤u§@¶¥¬q¡C¦pªG¦¹ªA°È°±¤î¡A³o³¡¹q¸£±NµLªkµn¤J©Î¦s¨ú iSCSI ¥Ø¼Ð¡C¦pªG¦¹ªA°È°±¥Î¡A©Ò¦³©ú½T¨Ì¦s©ó¥¦ªºªA°È³£±NµLªk±Ò°Ê¡C","Microsoft iSCSI Initiator Service","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"msiserver","Windows Installer","·s¼W¡B­×§ï¤Î²¾°£¥H Windows Installer (*.msi¡B*.msp) ®M¥ó§Î¦¡´£¨ÑªºÀ³¥Îµ{¦¡¡C¦pªG°±¥Î¦¹ªA°È¡A©Ò¦³©ú½T¨Ì¦s©ó¥¦ªºªA°È³£±NµLªk±Ò°Ê¡C","Windows Installer","Normal","C:\Windows\system32\msiexec.exe /V","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"MsKeyboardFilter","Microsoft Keyboard Filter","±±¨î«öÁä¿é¤J¿z¿ï»P¹ïÀ³","Microsoft Keyboard Filter","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Disabled","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"NaturalAuthentication","¦ÛµMÅçÃÒ","°T¸¹·JÁ`¤u¨ãªA°È¡A¥i®Ú¾Ú®É¶¡¡Bºô¸ô¡B¦a²z¦ì¸m¡BÂÅ¤ú¤Î cdf ­n¯À¨Óµû¦ô°T¸¹¡C¤ä´©ªº¥\¯à¦³¸Ë¸m¸Ñ°£Âê©w¡B°ÊºAÂê©w¤Î Dynamo MDM ­ì«h","¦ÛµMÅçÃÒ","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"NcaSvc","Network Connectivity Assistant","´£¨Ñ UI ¤¸¥óªº DirectAccess ª¬ºA³qª¾","Network Connectivity Assistant","Normal","C:\Windows\System32\svchost.exe -k NetSvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"NcbService","Network Connection Broker","¥iÅý Windows ¥«¶°À³¥Îµ{¦¡±µ¦¬ºô»Úºô¸ô³qª¾ªº¥N²z¤H³s½u¡C","Network Connection Broker","Normal","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","1064","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
