"name","caption","description","displayname","errorcontrol","pathname","processid","servicetype","started","startmode","startname","state","status","systemname"
ï»¿"AxInstSV","ActiveX Installer (AxInstSV)","°w¹ï±qºô»Úºô¸ô¦w¸Ëªº ActiveX ±±¨î¶µ´£¨Ñ¨Ï¥ÎªÌ±b¤á±±¨îÅçÃÒ¡A¥H¤ÎºÞ²z®Ú¾Ú¸s²Õ­ì«h³]©wªº ActiveX ±±¨î¶µ¦w¸Ë¡C¦¹ªA°È¬O»Ý­n®É¤~±Ò°Ê¡A¦Ó¦pªG°±¥Î®É¡AActiveX ±±¨î¶µ¦w¸Ëªº¦æ¬°±N·|®Ú¾Ú¹w³]ÂsÄý¾¹ªº³]©w¡C","ActiveX Installer (AxInstSV)","Normal","C:\Windows\system32\svchost.exe -k AxInstSVGroup","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"BDESVC","BitLocker Drive Encryption Service","BDESVC ¸Ë¸ü BitLocker ºÏºÐ¾÷¥[±KªA°È¡CBitLocker ºÏºÐ¾÷¥[±K´£¨Ñ§@·~¨t²Îªº¦w¥þ±Ò°Ê¡A¥H¤Î OS¡B©T©w©Î©â¨ú¦¡ºÏºÐ°Ïªº§¹¾ãºÏºÐ°Ï¥[±K¡C³o­ÓªA°È¤¹³\ BitLocker ´£¥Ü¨Ï¥ÎªÌ¶i¦æ»P¨ä±¾±µ¤§ºÏºÐ°Ï¬ÛÃöªº¦UºØ°Ê§@¡A¦Ó¥B·|¦Û°Ê¸Ñ°£Âê©wºÏºÐ°Ï¡A¨Ã¤£»Ý­n¨Ï¥ÎªÌ¤¬°Ê¡C¦¹¥~¡AÁÙ·|±N­×´_¸ê°TÀx¦s¦Ü Active Directory (¦pªG¥i¥Î)¡A¦Ó¥B¥²­n®É¥i½T©w¨Ï¥Îªº¬O³Ì·s­×´_¾ÌÃÒ¡C°±¤î©Î°±¥Î³o­ÓªA°È¡A·|Åý¨Ï¥ÎªÌµLªk§Q¥Î³o­Ó¥\¯à¡C","BitLocker Drive Encryption Service","Normal","C:\Windows\System32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","localSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"BFE","Base Filtering Engine","°òÂ¦¿z¿ï¤ÞÀº (BFE) ¬OºÞ²z¨¾¤õÀð»P IP ¦w¥þ©Ê (IPsec) ­ì«h¡A¨Ã°õ¦æ¨Ï¥ÎªÌ¼Ò¦¡¿z¿ïªºªA°È¡C°±¤î©Î°±¥Î BFE ªA°È±NÅãµÛ­°§C¨t²Îªº¦w¥þ©Ê¡C¦P®É¤]¾É­P IPsec ºÞ²z»P¨¾¤õÀðÀ³¥Îµ{¦¡·N¥~ªº¦æ¬°¡C","Base Filtering Engine","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","2108","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"BITS","Background Intelligent Transfer Service","¨Ï¥Î¶¢¸mªººô¸ôÀW¼e¦b­I´º¶Ç¿éÀÉ®×¡C¦pªG°±¥Î¦¹ªA°È¡A©Ò¦³¨Ì¦s©ó BITS ªºÀ³¥Îµ{¦¡ (¨Ò¦p¡AWindows Update ©Î MSN Explorer) ±NµLªk¦Û°Ê¤U¸üµ{¦¡©Î¨ä¥L¸ê°T¡C","Background Intelligent Transfer Service","Normal","C:\Windows\System32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"BrokerInfrastructure","Background Tasks Infrastructure Service","±±¨î­þ¨Ç­I´º¤u§@¥i¦b¨t²Î¤W°õ¦æªº Windows °òÂ¦µ²ºcªA°È¡C","Background Tasks Infrastructure Service","Normal","C:\Windows\system32\svchost.exe -k DcomLaunch -p","808","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"BTAGService","ÂÅ¤ú­µ°T¹h¹DªA°È","¤ä´©ÂÅ¤ú§K«ùÅ¥µ©³]©wÀÉ¤§­µ°T¹h¹D¨¤¦âªºªA°È¡C","ÂÅ¤ú­µ°T¹h¹DªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"BthAvctpSvc","AVCTP ªA°È","³o¬O­µ°T/µø°T±±¨î¶Ç¿é³q°T¨ó©wªA°È","AVCTP ªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"bthserv","ÂÅ¤ú¤ä´©ªA°È","ÂÅ¤úªA°È¤ä´©»·ºÝÂÅ¤ú¸Ë¸mªº±´¯Á»PÃöÁp¡C°±¤î©Î°±¥Î¦¹ªA°È¥i¯à·|¾É­P¤w¦w¸ËªºÂÅ¤ú¸Ë¸mµLªk¥¿½T¹B§@¡A¨Ã³y¦¨¨t²ÎµLªk±´¯Á¨ÃÃöÁp·sªº¸Ë¸m¡C","ÂÅ¤ú¤ä´©ªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"camsvc","¥\¯à¦s¨úºÞ²z­ûªA°È","´£¨Ñ¥Î©óºÞ²z UWP À³¥Îµ{¦¡¹ïÀ³¥Îµ{¦¡¥\¯à¦s¨úÅvªº³]¬I¡A¥H¤Î¥Î©óÀË¬dÀ³¥Îµ{¦¡¹ï¯S©wÀ³¥Îµ{¦¡¥\¯à¦s¨úÅvªº³]¬I","¥\¯à¦s¨úºÞ²z­ûªA°È","Normal","C:\Windows\system32\svchost.exe -k appmodel -p","86960","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"CDPSvc","¤w³s½uªº¸Ë¸m¥­¥xªA°È","¦¹ªA°È¬O¥Î©ó¡u³s½uªº¸Ë¸m¥­¥x¡v®×¨Ò","¤w³s½uªº¸Ë¸m¥­¥xªA°È","Normal","C:\Windows\system32\svchost.exe -k LocalService -p","4688","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
