"shortcutname","linkpath","linkto","arguments","description","workingdirectory","iconlocation","brokenshortcut","hotkey","showcmd","modifytime"
ï»¿"Microsoft Edge","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Edge.lnk","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"," ","ÂsÄýºô­¶","C:\Program Files (x86)\Microsoft\Edge\Application","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","No","None","Normal","1691584529"
ï»¿"Microsoft Silverlight","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Silverlight\Microsoft Silverlight.lnk","C:\Program Files (x86)\Microsoft Silverlight\5.1.10411.0\Silverlight.Configuration.exe"," ","Microsoft Silverlight","c:\Program Files (x86)\Microsoft Silverlight\5.1.10411.0\","c:\Windows\Installer\{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}\ConfigIconDll","No","None","Normal","1688627557"
ï»¿"Blend for Visual Studio 2012","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Blend for Visual Studio 2012.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Blend\Blend.exe"," ","Blend for Visual Studio 2012"," "," ","No","None","Normal","1688627342"
ï»¿"Microsoft Help Viewer","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Microsoft Help Viewer.lnk","C:\Program Files (x86)\Microsoft Help Viewer\v2.0\HlpViewer.exe","/catalogName VisualStudio11 /helpQuery method=f1&query=msdnstart /launchingApp Microsoft,VisualStudio,11.0 /sku 2000","Launch Local Help Viewer"," ","C:\Windows\Installer\{93489CA8-6656-33A0-A5AC-E0EDEDB17C3E}\VSDocs.ico","No","None","Normal","1688627226"
ï»¿"Reset the Visual Studio 2012 Experimental Instance","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Microsoft Visual Studio SDK\Tools\Reset the Visual Studio 2012 Experimental Instance.lnk","C:\Windows\SysWOW64\cmd.exe","/C "C:\Program Files (x86)\Microsoft Visual Studio 11.0\VSSDK\VisualStudioIntegration\Tools\Bin\CreateExpInstance.exe" /Reset /VSInstance=11.0 /RootSuffix=Exp && PAUSE"," "," "," ","No","None","Normal","1688627971"
ï»¿"Start Experimental Instance of Visual Studio 2012","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Microsoft Visual Studio SDK\Tools\Start Experimental Instance of Visual Studio 2012.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\devenv.exe","/rootSuffix Exp"," "," "," ","No","None","Normal","1688627970"
ï»¿"Build Notifications","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Team Foundation Server Tools\Build Notifications.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\BuildNotification.exe"," ","Build Notifications","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\"," ","No","None","Normal","1688627353"
ï»¿"Visual Studio 2012","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio 2012.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\devenv.exe"," ","Microsoft Visual Studio 2012","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\"," ","No","None","Normal","1688627174"
ï»¿"Debuggable Package Manager","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Debuggable Package Manager.lnk","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","-NoExit -Command "& cd 'C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\Remote Debugger\Appx\'; Import-Module Appx; Import-Module .\AppxDebug.dll; Show-AppxDebug"","Microsoft Visual Studio Debuggable Package Manager PowerShell Session","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\Remote Debugger\Appx\"," ","No","None","Normal","1688627298"
ï»¿"Developer Command Prompt for VS2012","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Developer Command Prompt for VS2012.lnk","C:\Windows\System32\cmd.exe","/k ""C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\VsDevCmd.bat""","Open Visual Studio 2012 Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio 11.0\"," ","No","None","Normal","1688627226"
ï»¿"Dotfuscator and Analytics","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Dotfuscator and Analytics.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\PreEmptive Solutions\Dotfuscator and Analytics Community Edition\dotfuscator.exe"," ","Adds obfuscation, tamper defense, shelf life, and runtime intelligence.","C:\Program Files (x86)\Microsoft Visual Studio 11.0\PreEmptive Solutions\Dotfuscator and Analytics Community Edition\","C:\Windows\Installer\{372D17F6-A54E-4A01-B264-1314890FFE61}\DfIcon.ico","No","None","Normal","1688627454"
ï»¿"MFC-ATL Trace Tool","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\MFC-ATL Trace Tool.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\AtlTraceTool8.exe"," ","This utility assists in debugging your MFC applications","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\"," ","No","None","Normal","1688627226"
ï»¿"Remote Debugger Folder","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Remote Debugger Folder.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\IDE\Remote Debugger"," ","Microsoft Visual Studio Remote Debugger Folder"," "," ","No","None","Normal","1688627226"
ï»¿"Spy++ (64-bit)","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Spy++ (64-bit).lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\spyxx_amd64.exe"," ","Shows properties of windows, threads, and processes, and tracks messages during execution","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\"," ","No","None","Normal","1688627226"
ï»¿"Spy++","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\Spy++.lnk","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\spyxx.exe"," ","Shows properties of windows, threads, and processes, and tracks messages during execution","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Common7\Tools\"," ","No","None","Normal","1688627226"
ï»¿"VS2012 ARM Cross Tools Command Prompt","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\VS2012 ARM Cross Tools Command Prompt.lnk","C:\Windows\System32\cmd.exe","/k ""C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\vcvarsall.bat"" x86_arm","Open VS2012 ARM Cross Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\"," ","No","None","Normal","1688627068"
