"shortcutname","linkpath","linkto","arguments","description","workingdirectory","iconlocation","brokenshortcut","hotkey","showcmd","modifytime"
ï»¿"Windows PowerShell ISE (x86)","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE (x86).lnk","C:\Windows\syswow64\WindowsPowerShell\v1.0\PowerShell_ISE.exe"," ","Windows PowerShell ¾ã¦X¦¡«ü¥O½XÀô¹Ò¡C°õ¦æ¥Hª«¥ó¬°°òÂ¦ªº (©R¥O¦C) ¨ç¼Æ","%HOMEDRIVE%%HOMEPATH%","%SystemRoot%\system32\WindowsPowerShell\v1.0\powershell_ise.exe","No","None","Normal","1575651840"
ï»¿"Windows PowerShell ISE","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE.lnk","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe"," ","Windows PowerShell ¾ã¦X¦¡«ü¥O½XÀô¹Ò¡C°õ¦æ¥Hª«¥ó¬°°òÂ¦ªº (©R¥O¦C) ¨ç¼Æ","%HOMEDRIVE%%HOMEPATH%","%SystemRoot%\system32\WindowsPowerShell\v1.0\powershell_ise.exe","No","None","Normal","1575651840"
ï»¿"Magnify","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Magnify.lnk","C:\Windows\system32\magnify.exe"," ","©ñ¤j¿ï¨ú¤å¦r¤Î¨ä¥L¿Ã¹õ¶µ¥Ø¡C"," ","%windir%\system32\magnify.exe","No","None","Normal","1575709723"
ï»¿"Narrator","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Narrator.lnk","C:\Windows\system32\narrator.exe"," ","¦pªG±z¦w¸Ë¤F³â¥z¤Î­µ®Ä¿é¥X¸Ë¸mªº¸Ü¡A¥¦·|¤jÁn°á¥X¿Ã¹õ¤Wªº¤å¦r¡A¹ï¸Ü¤è¶ô¡A¥\¯àªí¤Î«ö¶s¡C"," ","%windir%\system32\narrator.exe","No","None","Normal","1575709723"
ï»¿"On-Screen Keyboard","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\On-Screen Keyboard.lnk","C:\Windows\system32\osk.exe"," ","¦b¿Ã¹õ¤WÅã¥ÜÁä½L¡A±z¥i¥Î·Æ¹«©Î¤Á´«¿é¤J¸Ë¸m¨Ó±±¨î¥¦¡C"," ","%windir%\system32\osk.exe","No","None","Normal","1575709723"
ï»¿"Internet Explorer","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Internet Explorer.lnk","C:\Program Files\Internet Explorer\iexplore.exe"," ","´M§ä©MÅã¥Üºô»Úºô¸ô¤Wªº¸ê°T©Mºô¯¸¡C","%HOMEDRIVE%%HOMEPATH%"," ","No","None","Normal","1688103381"
ï»¿"MSYS2 CLANG64","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 CLANG64.lnk","C:\msys64\clang64.exe"," "," ","C:\msys64","C:/msys64/clang64.exe","No","None","Normal","1689836455"
ï»¿"MSYS2 CLANGARM64","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 CLANGARM64.lnk","C:\msys64\clangarm64.exe"," "," ","C:\msys64","C:/msys64/clangarm64.exe","No","None","Normal","1689836455"
ï»¿"MSYS2 MINGW32","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 MINGW32.lnk","C:\msys64\mingw32.exe"," "," ","C:\msys64","C:/msys64/mingw32.exe","No","None","Normal","1689836455"
ï»¿"MSYS2 MINGW64","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 MINGW64.lnk","C:\msys64\mingw64.exe"," "," ","C:\msys64","C:/msys64/mingw64.exe","No","None","Normal","1689836455"
ï»¿"MSYS2 MSYS","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 MSYS.lnk","C:\msys64\msys2.exe"," "," ","C:\msys64","C:/msys64/msys2.exe","No","None","Normal","1689836455"
ï»¿"MSYS2 UCRT64","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 UCRT64.lnk","C:\msys64\ucrt64.exe"," "," ","C:\msys64","C:/msys64/ucrt64.exe","No","None","Normal","1689836455"
ï»¿"OneDrive","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\OneDrive.lnk","C:\Users\test\AppData\Local\Microsoft\OneDrive\OneDrive.exe"," ","µL½×±z¨ì­þ¸Ì¡B¨Ï¥Î¤°»ò¸Ë¸m¡A±z³Ì­«­nªºÀÉ®×©l²×»P±z¦P¦b¡C"," ","C:\Users\test\AppData\Local\Microsoft\OneDrive\OneDrive.exe","No","None","Normal","1691732903"
ï»¿"IDLE (Python 3.11 64-bit)","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.11\IDLE (Python 3.11 64-bit).lnk","C:\Users\test\AppData\Local\Programs\Python\Python311\pythonw.exe",""C:\Users\test\AppData\Local\Programs\Python\Python311\Lib\idlelib\idle.pyw"","Launches IDLE, the interactive environment for Python 3.11.","C:\Users\test\AppData\Local\Programs\Python\Python311\","C:\Users\test\AppData\Roaming\Microsoft\Installer\{A32FE961-D579-4E46-B3D6-0B777F8F51E8}\idle.exe","No","None","Normal","1688106553"
ï»¿"Python 3.11 (64-bit)","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.11\Python 3.11 (64-bit).lnk","C:\Users\test\AppData\Local\Programs\Python\Python311\python.exe"," ","Launches the Python 3.11 interpreter.","C:\Users\test\AppData\Local\Programs\Python\Python311\"," ","No","None","Normal","1688106528"
ï»¿"Python 3.11 Manuals (64-bit)","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.11\Python 3.11 Manuals (64-bit).lnk","C:\Users\test\AppData\Local\Programs\Python\Python311\Doc\html\index.html"," ","View the Python 3.11 documentation.","C:\Users\test\AppData\Local\Programs\Python\Python311\"," ","No","None","Maximized","1688106543"
ï»¿"Python 3.11 Module Docs (64-bit)","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.11\Python 3.11 Module Docs (64-bit).lnk","C:\Users\test\AppData\Local\Programs\Python\Python311\python.exe","-m pydoc -b","Start the Python 3.11 documentation server.","C:\Users\test\AppData\Local\Programs\Python\Python311\","C:\Users\test\AppData\Roaming\Microsoft\Installer\{A32FE961-D579-4E46-B3D6-0B777F8F51E8}\idle.exe","No","None","Normal","1688106553"
ï»¿"Administrative Tools","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Administrative Tools.lnk","C:\Windows\system32\control.exe","/name Microsoft.AdministrativeTools","Windows ¨t²ÎºÞ²z¤u¨ã"," ","%windir%\system32\imageres.dll","No","None","Normal","1575709693"
ï»¿"Command Prompt","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk","C:\Windows\system32\cmd.exe"," ","°õ¦æ¤å¦r¬°¥Dªº (©R¥O¦C) ¥\¯à¡C","%HOMEDRIVE%%HOMEPATH%","%windir%\system32\cmd.exe","No","None","Normal","1575709714"
ï»¿"Visual Studio Code","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Visual Studio Code\Visual Studio Code.lnk","C:\Users\test\AppData\Local\Programs\Microsoft VS Code\Code.exe"," "," ","C:\Users\test\AppData\Local\Programs\Microsoft VS Code"," ","No","None","Normal","1691743465"
ï»¿"Windows PowerShell (x86)","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell (x86).lnk","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe"," ","Performs object-based (command-line) functions","%HOMEDRIVE%%HOMEPATH%","%SystemRoot%\syswow64\WindowsPowerShell\v1.0\powershell.exe","No","None","Normal","1575709962"
ï»¿"Windows PowerShell","C:\Users\test\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"," ","Performs object-based (command-line) functions","%HOMEDRIVE%%HOMEPATH%","%SystemRoot%\system32\WindowsPowerShell\v1.0\powershell.exe","No","None","Normal","1575709962"
ï»¿"Microsoft Edge","C:\Users\test\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Microsoft Edge.lnk","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"," ","ÂsÄýºô­¶","C:\Program Files (x86)\Microsoft\Edge\Application","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","No","None","Normal","1688103469"
ï»¿"Microsoft Edge","C:\Users\test\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Microsoft Edge.lnk","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","--profile-directory=Default","ÂsÄýºô­¶","C:\Program Files (x86)\Microsoft\Edge\Application","C:\Users\test\AppData\Local\Microsoft\Edge\User Data\Default\Edge Profile.ico","No","None","Normal","1688104093"
ï»¿"Microsoft Edge","C:\Users\test\Desktop\Microsoft Edge.lnk","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"," ","ÂsÄýºô­¶","C:\Program Files (x86)\Microsoft\Edge\Application","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","No","None","Normal","1688103469"
