"displayname","registryname","displayversion","installdate","installedfor","installlocation","publisher","uninstallstring","modifypath","comments","urlinfoabout","urlupdateinfo","helplink","installsource","releasetype","displayicon","estimatedsize","registrytime","installfoldercreatedtime","installfoldermodifiedtime"
﻿"Visual Studio 2012 Prerequisites","{61862D7C-CDBC-48D5-8AE1-3B8BD1E23BC5}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{61862D7C-CDBC-48D5-8AE1-3B8BD1E23BC5}","MsiExec.exe /X{61862D7C-CDBC-48D5-8AE1-3B8BD1E23BC5}"," "," "," "," ","C:\ProgramData\Package Cache\{61862D7C-CDBC-48D5-8AE1-3B8BD1E23BC5}v11.0.50727\packages\64bitPrereq\x64\"," "," ","5336","1688627064","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Performance Collection Tools","{633AB014-DDE6-403E-A302-8920CC32C543}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{633AB014-DDE6-403E-A302-8920CC32C543}","MsiExec.exe /I{633AB014-DDE6-403E-A302-8920CC32C543}"," "," "," "," ","C:\ProgramData\Package Cache\{633AB014-DDE6-403E-A302-8920CC32C543}v11.0.50727\packages\PerformanceCollectionTools\"," "," ","28124","1688627345","NULL","NULL"
﻿"Microsoft Visual Studio Team Foundation Server 2012 Object Model Language Pack - ENU","{68A48EF1-DF03-394F-AF40-1E4FE42BB8DD}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{68A48EF1-DF03-394F-AF40-1E4FE42BB8DD}","MsiExec.exe /I{68A48EF1-DF03-394F-AF40-1E4FE42BB8DD}"," "," "," "," ","C:\ProgramData\Package Cache\{68A48EF1-DF03-394F-AF40-1E4FE42BB8DD}v11.0.50727\packages\TFSObjectModelLP\x64\"," "," ","756","1688627137","NULL","NULL"
﻿"Microsoft Visual Studio Team Foundation Server 2012 Object Model","{6F07A6C2-9068-3673-A120-DC10012468C6}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{6F07A6C2-9068-3673-A120-DC10012468C6}","MsiExec.exe /I{6F07A6C2-9068-3673-A120-DC10012468C6}"," "," "," "," ","C:\ProgramData\Package Cache\{6F07A6C2-9068-3673-A120-DC10012468C6}v11.0.50727\packages\TFSObjectModel\x64\"," "," ","14760","1688627126","NULL","NULL"
﻿"Microsoft Visual Studio Installer","{6F320B93-EE3C-4826-85E0-ADF79F8D4C61}","3.6.2115.31769","20230703","All User 64-bit",""C:\Program Files (x86)\Microsoft Visual Studio\Installer"","Microsoft Corporation"," "," "," "," "," "," "," "," ",""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"","0","1688626200","NULL","NULL"
﻿"vs_Graphics_Singletonx64","{76133D32-1325-48F3-929A-27EC7A323FBA}","16.10.31213","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{76133D32-1325-48F3-929A-27EC7A323FBA}","MsiExec.exe /I{76133D32-1325-48F3-929A-27EC7A323FBA}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Graphics.Msi,version=16.10.31213.239,chip=x64\"," "," ","4509","1688629244","NULL","NULL"
﻿"Python 3.11.4 Add to Path (64-bit)","{77489A51-D174-4D9A-BD61-C4883157BA60}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{77489A51-D174-4D9A-BD61-C4883157BA60}","MsiExec.exe /I{77489A51-D174-4D9A-BD61-C4883157BA60}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{77489A51-D174-4D9A-BD61-C4883157BA60}v3.11.4150.0\"," "," ","48","1688106591","NULL","NULL"
﻿"Microsoft SQL Server Compact 4.0 SP1 x64 ENU","{78909610-D229-459C-A936-25D92283D3FD}","4.0.8876.1","20230706","All User 64-bit","C:\Program Files\Microsoft SQL Server Compact Edition\","Microsoft Corporation","MsiExec.exe /X{78909610-D229-459C-A936-25D92283D3FD}","MsiExec.exe /X{78909610-D229-459C-A936-25D92283D3FD}"," "," "," "," ","C:\Program Files (x86)\Microsoft SQL Server Compact Edition\Installer\"," "," ","21762","1688627504","1688627503","1688627503"
﻿"IIS 8.0 Express","{7BF61FA9-BDFB-4563-98AD-FCB0DA28CCC7}","8.0.1557","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{7BF61FA9-BDFB-4563-98AD-FCB0DA28CCC7}","MsiExec.exe /X{7BF61FA9-BDFB-4563-98AD-FCB0DA28CCC7}"," "," "," "," ","C:\ProgramData\Package Cache\{7BF61FA9-BDFB-4563-98AD-FCB0DA28CCC7}v8.0.1557\packages\IISExpress\"," "," ","36952","1688627390","NULL","NULL"
﻿"Python 3.11.4 Standard Library (64-bit)","{7EB8F17E-4AA7-4F9E-B908-42A28799523A}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{7EB8F17E-4AA7-4F9E-B908-42A28799523A}","MsiExec.exe /I{7EB8F17E-4AA7-4F9E-B908-42A28799523A}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{7EB8F17E-4AA7-4F9E-B908-42A28799523A}v3.11.4150.0\"," "," ","26344","1688106533","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30139","{7F4A9F52-173F-4B0D-B1EA-269C32EDA827}","14.29.30139","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{7F4A9F52-173F-4B0D-B1EA-269C32EDA827}","MsiExec.exe /I{7F4A9F52-173F-4B0D-B1EA-269C32EDA827}"," "," "," "," ","C:\ProgramData\Package Cache\{7F4A9F52-173F-4B0D-B1EA-269C32EDA827}v14.29.30139\packages\vcRuntimeAdditional_amd64\"," "," ","11728","1688629178","NULL","NULL"
﻿"Application Verifier x64 External Package","{8A4CD158-E6B3-6D91-D7DE-10098BC980E2}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft","MsiExec.exe /I{8A4CD158-E6B3-6D91-D7DE-10098BC980E2}","MsiExec.exe /I{8A4CD158-E6B3-6D91-D7DE-10098BC980E2}"," "," "," "," ","C:\ProgramData\Package Cache\{8A4CD158-E6B3-6D91-D7DE-10098BC980E2}v10.1.19041.685\Installers\"," "," ","7300","1688629333","NULL","NULL"
﻿"Python 3.11.4 Utility Scripts (64-bit)","{90A235DF-4CF1-415D-AD85-6AC578B5DFB4}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{90A235DF-4CF1-415D-AD85-6AC578B5DFB4}","MsiExec.exe /I{90A235DF-4CF1-415D-AD85-6AC578B5DFB4}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{90A235DF-4CF1-415D-AD85-6AC578B5DFB4}v3.11.4150.0\"," "," ","732","1688106545","NULL","NULL"
﻿"Microsoft SQL Server 2012 Command Line Utilities ","{9D573E71-1077-4C7E-B4DB-4E22A5D2B48B}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{9D573E71-1077-4C7E-B4DB-4E22A5D2B48B}","MsiExec.exe /I{9D573E71-1077-4C7E-B4DB-4E22A5D2B48B}"," "," "," "," ","C:\ProgramData\Package Cache\{9D573E71-1077-4C7E-B4DB-4E22A5D2B48B}v11.0.2100.60\packages\sqlcmdlnutils_amd64\"," "," ","2440","1688627180","NULL","NULL"
﻿"IIS Express Application Compatibility Database for x64","{9f4f4a9b-eec5-4906-92fe-d1f43ccf5c8d}.sdb"," "," ","All User 64-bit"," "," ","%windir%\system32\sdbinst.exe -u "C:\Windows\AppPatch\CustomSDB\{9f4f4a9b-eec5-4906-92fe-d1f43ccf5c8d}.sdb""," "," "," "," "," "," "," "," ","0","1688627390","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727","{A2CB1ACB-94A2-32BA-A15E-7D80319F7589}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{A2CB1ACB-94A2-32BA-A15E-7D80319F7589}","MsiExec.exe /X{A2CB1ACB-94A2-32BA-A15E-7D80319F7589}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{A2CB1ACB-94A2-32BA-A15E-7D80319F7589}v11.0.50727\packages\vcRuntimeMinimum_amd64\"," "," ","152","1688627056","NULL","NULL"
﻿"Python 3.11.4 Tcl/Tk Support (64-bit)","{A32FE961-D579-4E46-B3D6-0B777F8F51E8}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{A32FE961-D579-4E46-B3D6-0B777F8F51E8}","MsiExec.exe /I{A32FE961-D579-4E46-B3D6-0B777F8F51E8}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{A32FE961-D579-4E46-B3D6-0B777F8F51E8}v3.11.4150.0\"," "," ","16012","1688106553","NULL","NULL"
﻿"VS Script Debugging Common","{A4272808-82F5-410F-A5F9-1BF6F63F6B9A}","16.0.102.0","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{A4272808-82F5-410F-A5F9-1BF6F63F6B9A}","MsiExec.exe /I{A4272808-82F5-410F-A5F9-1BF6F63F6B9A}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Debugger.Script.Msi,version=16.10.31205.180,chip=x64\"," "," ","4586","1688629207","NULL","NULL"
﻿"Microsoft System CLR Types for SQL Server 2019 CTP2.2","{A5854188-0611-4C8A-98DC-B84B29207619}","15.0.1200.24","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{A5854188-0611-4C8A-98DC-B84B29207619}","MsiExec.exe /I{A5854188-0611-4C8A-98DC-B84B29207619}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\sqlsysclrtypes,version=16.0.62205.5200,chip=x64,language=zh-TW\"," "," ","6412","1688629190","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139","{A6BCA173-4218-4099-B36C-E12B3EE27B5D}","14.29.30139","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{A6BCA173-4218-4099-B36C-E12B3EE27B5D}","MsiExec.exe /I{A6BCA173-4218-4099-B36C-E12B3EE27B5D}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualCpp.RuntimeDebug.14,version=14.29.30139,chip=x64\"," "," ","30242","1688629249","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30139","{A6D3F752-BF11-4D7C-B19C-F6F96A35CF50}","14.29.30139","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{A6D3F752-BF11-4D7C-B19C-F6F96A35CF50}","MsiExec.exe /I{A6D3F752-BF11-4D7C-B19C-F6F96A35CF50}"," "," "," "," ","C:\ProgramData\Package Cache\{A6D3F752-BF11-4D7C-B19C-F6F96A35CF50}v14.29.30139\packages\vcRuntimeMinimum_amd64\"," "," ","2172","1688629177","NULL","NULL"
﻿"Microsoft Web Deploy 3.0","{AA72C306-30BE-4BB1-9E42-59552BAD2CDF}","3.1236.1631","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{AA72C306-30BE-4BB1-9E42-59552BAD2CDF}","MsiExec.exe /I{AA72C306-30BE-4BB1-9E42-59552BAD2CDF}"," "," "," "," ","C:\ProgramData\Package Cache\{AA72C306-30BE-4BB1-9E42-59552BAD2CDF}v3.1236.1631\packages\WebDeploy\"," "," ","12144","1688627368","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727","{AC53FC8B-EE18-3F9C-9B59-60937D0B182C}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{AC53FC8B-EE18-3F9C-9B59-60937D0B182C}","MsiExec.exe /X{AC53FC8B-EE18-3F9C-9B59-60937D0B182C}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{AC53FC8B-EE18-3F9C-9B59-60937D0B182C}v11.0.50727\packages\vcRuntimeAdditional_amd64\"," "," ","152","1688627057","NULL","NULL"
﻿"Microsoft Update Health Tools","{BB052C53-34CB-42DE-AF41-66FDFCEEC868}","3.72.0.0","20230630","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{BB052C53-34CB-42DE-AF41-66FDFCEEC868}","MsiExec.exe /X{BB052C53-34CB-42DE-AF41-66FDFCEEC868}"," "," "," "," ","C:\Windows\TEMP\4D1C5B11-E92C-44A1-9C97-A3E1F11525EF\"," "," ","1054","1688111409","NULL","NULL"
﻿"Microsoft SQL Server 2012 Transact-SQL Compiler Service ","{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}","MsiExec.exe /I{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}"," "," "," "," ","C:\ProgramData\Package Cache\{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}v11.0.2100.60\packages\Sqlls_amd64\"," "," ","89504","1688627178","NULL","NULL"
﻿"VS JIT Debugger","{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}","16.0.102.0","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}","MsiExec.exe /I{C7E8A4F2-EF09-42A8-B892-69D5ED99D965}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Debugger.JustInTime.Msi,version=16.10.31205.180,chip=x64\"," "," ","2163","1688629232","NULL","NULL"
﻿"Universal CRT Tools x64","{CD06199B-41C1-AE6D-7567-984CC68792C3}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{CD06199B-41C1-AE6D-7567-984CC68792C3}","MsiExec.exe /I{CD06199B-41C1-AE6D-7567-984CC68792C3}"," "," "," "," ","C:\ProgramData\Package Cache\{CD06199B-41C1-AE6D-7567-984CC68792C3}v10.1.19041.685\Installers\"," "," ","1804","1688629424","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","11.0.61030","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}v11.0.61030\packages\vcRuntimeMinimum_amd64\"," "," ","2000","1688626744","NULL","NULL"
﻿"Windows App Certification Kit Native Components","{D2886D0B-F38D-EB07-2108-B6218761F8F9}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{D2886D0B-F38D-EB07-2108-B6218761F8F9}","MsiExec.exe /I{D2886D0B-F38D-EB07-2108-B6218761F8F9}"," "," "," "," ","C:\ProgramData\Package Cache\{D2886D0B-F38D-EB07-2108-B6218761F8F9}v10.1.19041.685\Installers\"," "," ","8020","1688629353","NULL","NULL"
﻿"Python 3.11.4 pip Bootstrap (64-bit)","{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}","MsiExec.exe /I{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{D86BDA9F-D389-445E-B3E6-C35EF9FD41C7}v3.11.4150.0\"," "," ","268","1688106554","NULL","NULL"
﻿"Microsoft Visual C++ 2012  x64 Designtime - 11.0.50727","{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}","MsiExec.exe /X{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}"," "," "," "," ","C:\ProgramData\Package Cache\{D9F3D00D-E946-3B3D-A4A6-93D5020DB9F7}v11.0.50727\packages\VCDesigntime\x64\"," "," ","152","1688627455","NULL","NULL"
﻿"Python 3.11.4 Executables (64-bit)","{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}","MsiExec.exe /I{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{DA4B94FB-D8BB-4DB9-85A7-FA5067A5CEDF}v3.11.4150.0\"," "," ","2080","1688106528","NULL","NULL"
﻿"Microsoft Web Platform Installer 4.0","{E2B8249D-895C-4685-8C83-00F3B1A13028}","4.0.1622","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{E2B8249D-895C-4685-8C83-00F3B1A13028}","MsiExec.exe /X{E2B8249D-895C-4685-8C83-00F3B1A13028}"," "," "," "," ","C:\ProgramData\Package Cache\{E2B8249D-895C-4685-8C83-00F3B1A13028}v4.0.1622\packages\WebPlatformInstaller\"," "," ","4232","1688627396","NULL","NULL"
﻿"Windows SDK DirectX x64 Remote","{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}","10.1.19041.685","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}","MsiExec.exe /I{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}"," "," "," "," ","C:\ProgramData\Package Cache\{EBD149F6-9F46-49E4-ED99-25D2A0ECDBBD}v10.1.19041.685\Installers\"," "," ","488","1688629446","NULL","NULL"
﻿"Microsoft System CLR Types for SQL Server 2012 (x64)","{F1949145-EB64-4DE7-9D81-E6D27937146C}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{F1949145-EB64-4DE7-9D81-E6D27937146C}","MsiExec.exe /I{F1949145-EB64-4DE7-9D81-E6D27937146C}"," "," "," "," ","C:\ProgramData\Package Cache\{F1949145-EB64-4DE7-9D81-E6D27937146C}v11.0.2100.60\packages\SQLSysClrTypes_amd64\"," "," ","2828","1688627509","NULL","NULL"
﻿"Microsoft SQL Server 2012 Management Objects  (x64)","{FA0A244E-F3C2-4589-B42A-3D522DE79A42}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{FA0A244E-F3C2-4589-B42A-3D522DE79A42}","MsiExec.exe /I{FA0A244E-F3C2-4589-B42A-3D522DE79A42}"," "," "," "," ","C:\ProgramData\Package Cache\{FA0A244E-F3C2-4589-B42A-3D522DE79A42}v11.0.2100.60\packages\SharedManagementObjects_amd64\"," "," ","18652","1688627519","NULL","NULL"
