"name","caption","description","displayname","errorcontrol","pathname","creationclassname","servicetype","started","startmode","startname","state","status","systemname","acceptpause","acceptstop"
ï»¿"Ndisuio","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","Normal","C:\Windows\system32\drivers\ndisuio.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"NdisVirtualBus","Microsoft µêÀÀºô¸ô¤¶­±¥d¦CÁ|µ{¦¡","Microsoft µêÀÀºô¸ô¤¶­±¥d¦CÁ|µ{¦¡","Microsoft µêÀÀºô¸ô¤¶­±¥d¦CÁ|µ{¦¡","Normal","C:\Windows\system32\drivers\NdisVirtualBus.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"NdisWan","»·ºÝ¦s¨ú NDIS WAN ÅX°Êµ{¦¡","»·ºÝ¦s¨ú NDIS WAN ÅX°Êµ{¦¡","»·ºÝ¦s¨ú NDIS WAN ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\ndiswan.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"ndiswanlegacy","»·ºÝ¦s¨úÂÂª© NDIS WAN ÅX°Êµ{¦¡","»·ºÝ¦s¨úÂÂª© NDIS WAN ÅX°Êµ{¦¡","»·ºÝ¦s¨úÂÂª© NDIS WAN ÅX°Êµ{¦¡","Normal","C:\Windows\system32\DRIVERS\ndiswan.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"NDKPing","NDKPing Driver","NDKPing Driver","NDKPing Driver","Normal","C:\Windows\system32\drivers\NDKPing.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"ndproxy","NDIS Proxy Driver","NDIS Proxy Driver","NDIS Proxy Driver","Normal","C:\Windows\system32\DRIVERS\NDProxy.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Ndu","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Normal","C:\Windows\system32\drivers\Ndu.sys","Win32_SystemDriver","Kernel Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"NetAdapterCx","Network Adapter Wdf Class Extension Library","Network Adapter Wdf Class Extension Library","Network Adapter Wdf Class Extension Library","Normal","C:\Windows\system32\drivers\NetAdapterCx.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"NetBIOS","NetBIOS Interface","NetBIOS Interface","NetBIOS Interface","Normal","C:\Windows\system32\drivers\netbios.sys","Win32_SystemDriver","File System Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"NetBT","NetBT","NetBT","NetBT","Normal","C:\Windows\system32\DRIVERS\netbt.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"netvsc","netvsc","netvsc","netvsc","Normal","C:\Windows\system32\drivers\netvsc.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Npfs","Npfs","Npfs","Npfs","Normal","C:\Windows\system32\drivers\Npfs.sys","Win32_SystemDriver","File System Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"npsvctrig","Named pipe service trigger provider","Named pipe service trigger provider","Named pipe service trigger provider","Severe","C:\Windows\system32\drivers\npsvctrig.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"nsiproxy","NSI Proxy Service Driver","NSI Proxy Service Driver","NSI Proxy Service Driver","Normal","C:\Windows\system32\drivers\nsiproxy.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Ntfs","Ntfs","Ntfs","Ntfs","Normal","C:\Windows\system32\drivers\Ntfs.sys","Win32_SystemDriver","File System Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Null","Null","Null","Null","Normal","C:\Windows\system32\drivers\Null.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"nvdimm","Microsoft NVDIMM ¸Ë¸mÅX°Êµ{¦¡","Microsoft NVDIMM ¸Ë¸mÅX°Êµ{¦¡","Microsoft NVDIMM ¸Ë¸mÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\nvdimm.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"nvraid","nvraid","nvraid","nvraid","Normal","C:\Windows\system32\drivers\nvraid.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"nvstor","nvstor","nvstor","nvstor","Critical","C:\Windows\system32\drivers\nvstor.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Parport","¥­¦æ°ðÅX°Êµ{¦¡","¥­¦æ°ðÅX°Êµ{¦¡","¥­¦æ°ðÅX°Êµ{¦¡","Ignore","C:\Windows\system32\drivers\parport.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"partmgr","Partition driver","Partition driver","Partition driver","Critical","C:\Windows\system32\drivers\partmgr.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"pci","PCI Bus ÅX°Êµ{¦¡","PCI Bus ÅX°Êµ{¦¡","PCI Bus ÅX°Êµ{¦¡","Critical","C:\Windows\system32\drivers\pci.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"pciide","pciide","pciide","pciide","Critical","C:\Windows\system32\drivers\pciide.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"pcmcia","pcmcia","pcmcia","pcmcia","Normal","C:\Windows\system32\drivers\pcmcia.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"pcw","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Normal","C:\Windows\system32\drivers\pcw.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"pdc","pdc","pdc","pdc","Critical","C:\Windows\system32\drivers\pdc.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"PEAUTH","PEAUTH","PEAUTH","PEAUTH","Normal","C:\Windows\system32\drivers\peauth.sys","Win32_SystemDriver","Kernel Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"percsas2i","percsas2i","percsas2i","percsas2i","Normal","C:\Windows\system32\drivers\percsas2i.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"percsas3i","percsas3i","percsas3i","percsas3i","Normal","C:\Windows\system32\drivers\percsas3i.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"PktMon","Packet Monitor Driver","Packet Monitor Driver","Packet Monitor Driver","Normal","C:\Windows\system32\drivers\PktMon.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"pmem","Microsoft «ùÄò©Ê°O¾ÐÅéºÏºÐÅX°Êµ{¦¡","Microsoft «ùÄò©Ê°O¾ÐÅéºÏºÐÅX°Êµ{¦¡","Microsoft «ùÄò©Ê°O¾ÐÅéºÏºÐÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\pmem.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"PNPMEM","Microsoft Memory Module Driver","Microsoft Memory Module Driver","Microsoft Memory Module Driver","Normal","C:\Windows\system32\drivers\pnpmem.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"portcfg","portcfg","portcfg","portcfg","Normal","C:\Windows\system32\drivers\portcfg.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"PptpMiniport","WAN °g§A³s±µ°ð (PPTP)","WAN °g§A³s±µ°ð (PPTP)","WAN °g§A³s±µ°ð (PPTP)","Normal","C:\Windows\system32\drivers\raspptp.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Processor","³B²z¾¹ÅX°Êµ{¦¡","³B²z¾¹ÅX°Êµ{¦¡","³B²z¾¹ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\processr.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Psched","QoS «Ê¥]±Æµ{¾¹","QoS «Ê¥]±Æµ{¾¹","QoS «Ê¥]±Æµ{¾¹","Normal","C:\Windows\system32\drivers\pacer.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"QWAVEdrv","QWAVE driver","QWAVE driver","QWAVE driver","Normal","C:\Windows\system32\drivers\qwavedrv.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Ramdisk","Windows RAM Disk Driver","Windows RAM Disk Driver","Windows RAM Disk Driver","Normal","C:\Windows\system32\DRIVERS\ramdisk.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"RasAcd","Remote Access Auto Connection Driver","Remote Access Auto Connection Driver","Remote Access Auto Connection Driver","Normal","C:\Windows\system32\DRIVERS\rasacd.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"RasAgileVpn","WAN Miniport (IKEv2)","WAN Miniport (IKEv2)","WAN Miniport (IKEv2)","Normal","C:\Windows\system32\drivers\AgileVpn.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Rasl2tp","WAN °g§A³s±µ°ð (L2TP)","WAN °g§A³s±µ°ð (L2TP)","WAN °g§A³s±µ°ð (L2TP)","Normal","C:\Windows\system32\drivers\rasl2tp.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"RasPppoe","»·ºÝ¦s¨ú PPPOE ÅX°Êµ{¦¡","»·ºÝ¦s¨ú PPPOE ÅX°Êµ{¦¡","»·ºÝ¦s¨ú PPPOE ÅX°Êµ{¦¡","Normal","C:\Windows\system32\DRIVERS\raspppoe.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"RasSstp","WAN Miniport (SSTP)","WAN Miniport (SSTP)","WAN Miniport (SSTP)","Normal","C:\Windows\system32\drivers\rassstp.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"rdbss","Redirected Buffering Sub System","Redirected Buffering Sub System","Redirected Buffering Sub System","Normal","C:\Windows\system32\DRIVERS\rdbss.sys","Win32_SystemDriver","File System Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"rdpbus","»·ºÝ®à­±¸Ë¸m­«·s¾É¦V¾¹¶×¬y±ÆÅX°Êµ{¦¡","»·ºÝ®à­±¸Ë¸m­«·s¾É¦V¾¹¶×¬y±ÆÅX°Êµ{¦¡","»·ºÝ®à­±¸Ë¸m­«·s¾É¦V¾¹¶×¬y±ÆÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\rdpbus.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"RDPDR","Remote Desktop Device Redirector Driver","Remote Desktop Device Redirector Driver","Remote Desktop Device Redirector Driver","Normal","C:\Windows\system32\drivers\rdpdr.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"RdpVideoMiniport","Remote Desktop Video Miniport Driver","Remote Desktop Video Miniport Driver","Remote Desktop Video Miniport Driver","Normal","C:\Windows\system32\drivers\rdpvideominiport.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"rdyboost","ReadyBoost","ReadyBoost","ReadyBoost","Critical","C:\Windows\system32\drivers\rdyboost.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"ReFS","ReFS","ReFS","ReFS","Normal","C:\Windows\system32\drivers\ReFS.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"ReFSv1","ReFSv1","ReFSv1","ReFSv1","Normal","C:\Windows\system32\drivers\ReFSv1.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","Normal","C:\Windows\system32\drivers\rfcomm.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"rhproxy","¸ê·½¶°½u¾¹ Proxy ÅX°Êµ{¦¡","¸ê·½¶°½u¾¹ Proxy ÅX°Êµ{¦¡","¸ê·½¶°½u¾¹ Proxy ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\rhproxy.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"rspndr","Link-Layer Topology Discovery Responder","Link-Layer Topology Discovery Responder","Link-Layer Topology Discovery Responder","Normal","C:\Windows\system32\drivers\rspndr.sys","Win32_SystemDriver","Kernel Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"s3cap","s3cap","s3cap","s3cap","Normal","C:\Windows\system32\drivers\vms3cap.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"sbp2port","SBP-2 ¶Ç¿é/³q°T¨ó©w¶×¬y±ÆÅX°Êµ{¦¡","SBP-2 ¶Ç¿é/³q°T¨ó©w¶×¬y±ÆÅX°Êµ{¦¡","SBP-2 ¶Ç¿é/³q°T¨ó©w¶×¬y±ÆÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\sbp2port.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"scfilter","Smart card PnP Class Filter Driver","Smart card PnP Class Filter Driver","Smart card PnP Class Filter Driver","Normal","C:\Windows\system32\DRIVERS\scfilter.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"scmbus","Microsoft ¦s©ñ¸Ë¸mÃþ§O°O¾ÐÅé¶×¬y±ÆÅX°Êµ{¦¡","Microsoft ¦s©ñ¸Ë¸mÃþ§O°O¾ÐÅé¶×¬y±ÆÅX°Êµ{¦¡","Microsoft ¦s©ñ¸Ë¸mÃþ§O°O¾ÐÅé¶×¬y±ÆÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\scmbus.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"sdbus","sdbus","sdbus","sdbus","Normal","C:\Windows\system32\drivers\sdbus.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"SDFRd","SDF ¤Ï®gµ{¦¡","SDF ¤Ï®gµ{¦¡","SDF ¤Ï®gµ{¦¡","Normal","C:\Windows\system32\drivers\SDFRd.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"sdstor","SD Àx¦s¥d³s±µ°ðÅX°Êµ{¦¡","SD Àx¦s¥d³s±µ°ðÅX°Êµ{¦¡","SD Àx¦s¥d³s±µ°ðÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\sdstor.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"SensorsSimulatorDriver","UMDF Reflector service for SensorsSimulatorDriver","UMDF Reflector service for SensorsSimulatorDriver","UMDF Reflector service for SensorsSimulatorDriver","Normal","C:\Windows\system32\drivers\WUDFRd.sys","Win32_SystemDriver","Kernel Driver","Running","Manual","\Driver\WudfRd","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"SerCx","Serial UART Support Library","Serial UART Support Library","Serial UART Support Library","Normal","C:\Windows\system32\drivers\SerCx.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"SerCx2","Serial UART Support Library","Serial UART Support Library","Serial UART Support Library","Normal","C:\Windows\system32\drivers\SerCx2.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Serenum","Serenum Filter Driver","Serenum Filter Driver","Serenum Filter Driver","Normal","C:\Windows\system32\drivers\serenum.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Serial","§Ç¦C°ðÅX°Êµ{¦¡","§Ç¦C°ðÅX°Êµ{¦¡","§Ç¦C°ðÅX°Êµ{¦¡","Ignore","C:\Windows\system32\drivers\serial.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"sermouse","§Ç¦C·Æ¹«ÅX°Êµ{¦¡","§Ç¦C·Æ¹«ÅX°Êµ{¦¡","§Ç¦C·Æ¹«ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\sermouse.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"sfloppy","°ª®e¶q³nºÐ¾÷","°ª®e¶q³nºÐ¾÷","°ª®e¶q³nºÐ¾÷","Normal","C:\Windows\system32\drivers\sfloppy.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"SgrmAgent","System Guard Runtime Monitor Agent","System Guard Runtime Monitor Agent","System Guard Runtime Monitor Agent","Normal","C:\Windows\system32\drivers\SgrmAgent.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"SiSRaid2","SiSRaid2","SiSRaid2","SiSRaid2","Normal","C:\Windows\system32\drivers\SiSRaid2.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"SiSRaid4","SiSRaid4","SiSRaid4","SiSRaid4","Normal","C:\Windows\system32\drivers\sisraid4.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"SmartSAMD","SmartSAMD","SmartSAMD","SmartSAMD","Normal","C:\Windows\system32\drivers\SmartSAMD.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"smbdirect","smbdirect","smbdirect","smbdirect","Normal","C:\Windows\system32\DRIVERS\smbdirect.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"spaceparser","Space Parser","Space Parser","Space Parser","Normal","C:\Windows\system32\drivers\spaceparser.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"spaceport","Àx¦sªÅ¶¡ÅX°Êµ{¦¡","Àx¦sªÅ¶¡ÅX°Êµ{¦¡","Àx¦sªÅ¶¡ÅX°Êµ{¦¡","Critical","C:\Windows\system32\drivers\spaceport.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"SpatialGraphFilter","Holographic Spatial Graph Filter","Holographic Spatial Graph Filter","Holographic Spatial Graph Filter","Normal","C:\Windows\system32\drivers\SpatialGraphFilter.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"SpbCx","Simple Peripheral Bus Support Library","Simple Peripheral Bus Support Library","Simple Peripheral Bus Support Library","Normal","C:\Windows\system32\drivers\SpbCx.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"srv2","Server SMB 2.xxx Driver","Server SMB 2.xxx Driver","Server SMB 2.xxx Driver","Normal","C:\Windows\system32\DRIVERS\srv2.sys","Win32_SystemDriver","File System Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"srvnet","srvnet","srvnet","srvnet","Normal","C:\Windows\system32\DRIVERS\srvnet.sys","Win32_SystemDriver","File System Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"stexstor","stexstor","stexstor","stexstor","Normal","C:\Windows\system32\drivers\stexstor.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"storahci","Microsoft Standard SATA AHCI Driver","Microsoft Standard SATA AHCI Driver","Microsoft Standard SATA AHCI Driver","Critical","C:\Windows\system32\drivers\storahci.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"storflt","Microsoft Hyper-V Àx¦s¥[³t¾¹","Microsoft Hyper-V Àx¦s¥[³t¾¹","Microsoft Hyper-V Àx¦s¥[³t¾¹","Normal","C:\Windows\system32\drivers\vmstorfl.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"stornvme","Microsoft Standard NVM Express Driver","Microsoft Standard NVM Express Driver","Microsoft Standard NVM Express Driver","Critical","C:\Windows\system32\drivers\stornvme.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"storqosflt","Storage QoS Filter Driver","Storage QoS Filter Driver","Storage QoS Filter Driver","Normal","C:\Windows\system32\drivers\storqosflt.sys","Win32_SystemDriver","File System Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"storufs","Microsoft ³q¥Î§Ö°{¦s©ñ¸Ë¸m (UFS) ÅX°Êµ{¦¡","Microsoft ³q¥Î§Ö°{¦s©ñ¸Ë¸m (UFS) ÅX°Êµ{¦¡","Microsoft ³q¥Î§Ö°{¦s©ñ¸Ë¸m (UFS) ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\storufs.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"storvsc","storvsc","storvsc","storvsc","Normal","C:\Windows\system32\drivers\storvsc.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"swenum","Software Bus ÅX°Êµ{¦¡","Software Bus ÅX°Êµ{¦¡","Software Bus ÅX°Êµ{¦¡","Normal","C:\Windows\system32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Synth3dVsc","Synth3dVsc","Synth3dVsc","Synth3dVsc","Normal","C:\Windows\system32\drivers\Synth3dVsc.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Tcpip","TCP/IP Protocol Driver","TCP/IP Protocol Driver","TCP/IP Protocol Driver","Normal","C:\Windows\system32\drivers\tcpip.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","@todo.dll,-100;Microsoft IPv6 Protocol Driver","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Normal","C:\Windows\system32\drivers\tcpip.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"tcpipreg","TCP/IP Registry Compatibility","TCP/IP Registry Compatibility","TCP/IP Registry Compatibility","Normal","C:\Windows\system32\drivers\tcpipreg.sys","Win32_SystemDriver","Kernel Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"tdx","NetIO ¶Ç²Î TDI ¤ä´©ÅX°Êµ{¦¡","NetIO ¶Ç²Î TDI ¤ä´©ÅX°Êµ{¦¡","NetIO ¶Ç²Î TDI ¤ä´©ÅX°Êµ{¦¡","Normal","C:\Windows\system32\DRIVERS\tdx.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"Telemetry","Intel(R) »»´úªA°È","Intel(R) »»´úªA°È","Intel(R) »»´úªA°È","Normal","C:\Windows\system32\drivers\IntelTA.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"terminpt","Microsoft »·ºÝ®à­±¿é¤JÅX°Êµ{¦¡","Microsoft »·ºÝ®à­±¿é¤JÅX°Êµ{¦¡","Microsoft »·ºÝ®à­±¿é¤JÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\terminpt.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
